media/image1.jfif	Visit to Anfaani Children’s Home in Vittin on 20th September, 2018 to donate items
media/image2.JPG	Donation of Sanitary Pad to a female teacher of            Head Teacher of the School and Founder of SCF St. Monica’s Catholic School
media/image4.jpeg	
media/image6.jpeg	Tamale Rehabilitation Centre, Northern Region         Citation from the disability group to the founder
media/image7.jpeg	Bags of thrift wears donated to the disability group (Lipers, albinos, physically challenged, blind) on 1st October, 2022 at their centre in Tamale, Norther Region
media/image8.jpeg	Donation made to the Gambaga Witches Camp in Savannah
media/image10.jpeg	Donation made to the Gambaga Witches Camp in Savannah
media/image11.jpeg	Alleged witches housed in the camp                     Distribution of cooked food to the
media/image12.jpeg	Vulnerable on the streets of Tamale,
media/image13.jpeg	Distribution of food, biscuits and drinks           Street giveaway on 21st October, 2023
media/image15.jpg	Bales of clothes, food items, detergents and other items
media/image17.jpg	of Sally’s Smile Charity Foundation with the items to Community after Sunday Church Service
media/image19.png	Assembly man of Lingbinsi Community            Beneficiaries of our donation at Lingbinsi Community
media/image21.png	biscuits and many others during Sunday
media/image22.jpeg	Women and children of Zuo community in a
media/image24.jpeg	with one of the bales of thrift clothing
media/image26.jpeg	A visit to Nazareth Home of God’s Children in
media/image27.png	Lunch with children in Sagnerigu District, Northern Region in November, 2022
media/image28.jfif	Some Members of Sally’s Smile Charity Foundation after an Outreach programme at Lingbinsi in the Savannah Region, Ghana
